rating_id,stimulus_id,trace_id,source_kind_hidden_during_rating,rater_id,task_understanding_check,H1-01,H1-02,H1-03,H1-04,H1-05,H1-06,H1-07,H1-08,H1-09,H1-10,H1-11,H1-12,guessed_source,guess_confidence_1_to_5
SYN-RATE-01-01,SYN-STIM-01,SYN-H-P01-01,synthetic_human,SYN-RATER-01,1,5,5,6,5,5,5,4,5,5,5,5,7,Agent,3
SYN-RATE-01-02,SYN-STIM-01,SYN-H-P01-01,synthetic_human,SYN-RATER-02,1,5,7,5,7,5,5,5,4,5,6,5,5,Human,5
SYN-RATE-01-03,SYN-STIM-01,SYN-H-P01-01,synthetic_human,SYN-RATER-03,1,6,6,5,5,5,6,6,5,5,5,6,5,Agent,5
SYN-RATE-01-04,SYN-STIM-01,SYN-H-P01-01,synthetic_human,SYN-RATER-04,1,5,6,5,5,5,7,5,5,5,5,6,7,Human,4
SYN-RATE-01-05,SYN-STIM-01,SYN-H-P01-01,synthetic_human,SYN-RATER-05,1,6,6,5,5,5,6,5,6,5,7,6,6,Human,5
SYN-RATE-01-06,SYN-STIM-01,SYN-H-P01-01,synthetic_human,SYN-RATER-06,1,6,5,5,6,7,6,5,5,6,6,5,7,Agent,4
SYN-RATE-02-01,SYN-STIM-02,SYN-H-P01-02,synthetic_human,SYN-RATER-01,1,5,4,5,6,5,4,4,5,5,5,6,5,Human,3
SYN-RATE-02-02,SYN-STIM-02,SYN-H-P01-02,synthetic_human,SYN-RATER-02,1,5,5,5,5,5,4,5,5,5,5,5,5,Agent,3
SYN-RATE-02-03,SYN-STIM-02,SYN-H-P01-02,synthetic_human,SYN-RATER-03,1,6,5,6,5,5,5,6,5,4,5,5,6,Human,4
SYN-RATE-02-04,SYN-STIM-02,SYN-H-P01-02,synthetic_human,SYN-RATER-04,1,5,5,6,6,5,5,5,5,5,6,5,6,Human,4
SYN-RATE-02-05,SYN-STIM-02,SYN-H-P01-02,synthetic_human,SYN-RATER-05,1,5,5,6,5,6,7,5,5,5,5,6,5,Agent,3
SYN-RATE-02-06,SYN-STIM-02,SYN-H-P01-02,synthetic_human,SYN-RATER-06,1,6,7,7,5,5,5,5,7,4,6,7,7,Human,5
SYN-RATE-03-01,SYN-STIM-03,SYN-H-P02-01,synthetic_human,SYN-RATER-01,1,6,4,5,4,5,5,5,4,4,5,5,4,Agent,3
SYN-RATE-03-02,SYN-STIM-03,SYN-H-P02-01,synthetic_human,SYN-RATER-02,1,5,5,6,4,5,5,5,4,5,5,5,5,Agent,4
SYN-RATE-03-03,SYN-STIM-03,SYN-H-P02-01,synthetic_human,SYN-RATER-03,1,5,6,5,6,4,4,5,5,5,6,5,5,Human,4
